75.98.48.208:443#美国US-241.19m|256.83ms
163.5.58.140:443#Anycast-220.02m|55.43ms
38.55.110.29:12025#美国US-195.88m|56.80ms
60.249.21.30:443#Anycast-178.44m|58.55ms
57.182.195.74:443#Anycast-160.98m|82.57ms
18.182.54.28:443#Anycast-146.92m|87.29ms
54.249.190.18:443#Anycast-143.82m|82.61ms
67.230.162.203:443#美国US-86.87m|166.89ms
64.186.242.147:8443#美国US-86.57m|163.90ms
154.26.185.59:27015#美国US-86.56m|166.80ms
144.34.229.146:993#美国US-86.52m|163.94ms
114.204.41.241:30001#韩国KR-86.34m|111.67ms
69.63.214.151:60010#美国US-86.06m|165.44ms
144.34.236.165:10152#美国US-85.93m|165.77ms
104.194.83.254:443#美国US-85.80m|167.61ms
154.26.184.229:8443#美国US-85.77m|165.41ms
67.230.161.250:443#美国US-85.69m|164.70ms
38.207.183.246:12516#美国US-85.63m|165.56ms
154.17.9.159:443#Anycast-85.62m|166.02ms
199.19.111.78:443#美国US-85.49m|164.68ms
38.207.171.113:16466#美国US-85.48m|165.67ms
64.186.234.108:443#美国US-85.42m|166.54ms
64.186.236.235:443#美国US-85.42m|167.30ms
38.207.183.102:50398#美国US-85.30m|166.36ms
38.207.171.30:443#美国US-85.19m|166.16ms
144.34.226.100:2053#美国US-85.17m|167.79ms
154.17.225.54:443#美国US-85.09m|165.45ms
104.224.152.121:443#美国US-84.90m|165.81ms
104.194.66.92:443#美国US-84.78m|164.71ms
95.181.188.76:443#美国US-84.76m|165.16ms
38.207.166.167:35859#美国US-84.70m|168.74ms
45.78.79.135:443#美国US-84.63m|167.61ms
192.243.113.108:443#美国US-84.49m|163.59ms
199.180.113.31:443#美国US-84.47m|167.80ms
64.186.237.92:8443#美国US-84.44m|166.08ms
64.186.240.48:443#美国US-84.41m|167.13ms
64.186.239.202:443#美国US-84.40m|164.38ms
131.186.24.124:587#韩国KR-71.54m|74.78ms
61.96.248.252:20002#韩国KR-69.26m|120.02ms
205.186.67.90:443#Anycast-66.93m|72.71ms
43.200.87.5:443#韩国KR-65.40m|97.51ms
14.32.205.160:10035#韩国KR-64.09m|108.87ms
121.151.210.54:10333#韩国KR-61.26m|112.73ms
121.132.124.22:15000#韩国KR-59.50m|102.80ms
1.220.158.26:25105#韩国KR-59.37m|84.79ms
119.64.206.100:12345#韩国KR-59.01m|86.40ms
14.58.60.153:16992#韩国KR-58.59m|106.21ms
112.187.247.37:10000#韩国KR-57.77m|121.70ms
59.30.42.194:12345#韩国KR-57.50m|114.08ms
1.220.158.26:17988#韩国KR-57.00m|82.60ms
118.40.112.188:22222#韩国KR-56.74m|119.42ms
1.220.158.26:11211#韩国KR-56.70m|81.76ms
59.15.13.58:29876#韩国KR-56.12m|105.49ms
121.159.68.210:20002#韩国KR-55.87m|114.12ms
221.157.243.233:20201#韩国KR-55.87m|103.03ms
1.231.161.75:25448#韩国KR-55.76m|132.65ms
121.133.182.173:27017#韩国KR-55.52m|103.49ms
121.151.210.54:27017#韩国KR-55.15m|109.17ms
132.226.169.245:587#韩国KR-54.96m|73.01ms
59.28.29.100:17000#韩国KR-54.61m|112.66ms
61.79.126.130:10002#韩国KR-54.41m|123.33ms
125.190.136.186:18790#韩国KR-54.40m|90.90ms
121.179.218.9:16010#韩国KR-52.82m|110.92ms
121.180.171.43:10554#韩国KR-52.78m|108.68ms
59.26.118.116:30001#韩国KR-52.72m|111.68ms
61.76.179.211:18246#韩国KR-52.49m|108.51ms
61.79.126.130:25010#韩国KR-52.44m|116.80ms
134.185.109.69:443#Anycast-26.31m|98.02ms
158.180.78.65:443#Anycast-26.06m|95.66ms
43.154.131.189:443#Anycast-21.63m|35.42ms
134.185.99.132:443#Anycast-12.41m|91.10ms
158.180.77.154:443#Anycast-11.73m|93.57ms
