64.176.231.220:443#韩国KR-2895.73m|2.64ms
158.247.255.165:443#韩国KR-2678.93m|2.75ms
168.110.121.126:8443#韩国KR-2610.56m|0.29ms
129.154.50.72:8443#韩国KR-2600.44m|0.35ms
64.176.233.219:443#Anycast-2548.39m|2.69ms
64.176.226.26:8443#韩国KR-2361.93m|2.84ms
15.164.221.7:443#Anycast-2233.36m|2.96ms
158.247.253.111:2087#韩国KR-2202.13m|2.76ms
158.247.198.196:443#韩国KR-2079.19m|2.81ms
54.180.151.15:443#韩国KR-2007.62m|3.65ms
168.107.40.4:8443#韩国KR-1992.44m|0.30ms
52.79.123.68:443#韩国KR-1927.67m|3.71ms
13.124.169.29:443#韩国KR-1920.27m|3.77ms
158.247.210.172:443#韩国KR-1897.62m|2.77ms
52.78.114.26:443#韩国KR-1861.43m|3.64ms
152.69.229.110:443#韩国KR-1833.39m|0.38ms
158.247.253.111:8443#韩国KR-1769.54m|2.84ms
3.34.141.95:443#韩国KR-1768.34m|3.57ms
158.247.240.138:443#韩国KR-1755.96m|2.83ms
54.180.141.246:443#韩国KR-1738.96m|3.66ms
158.247.252.34:443#韩国KR-1691.70m|2.81ms
43.201.29.42:443#韩国KR-1689.04m|3.54ms
146.56.146.21:27587#韩国KR-1647.95m|2.68ms
168.107.17.234:8443#韩国KR-1642.05m|0.34ms
158.247.248.160:443#韩国KR-1581.30m|3.01ms
64.176.231.128:8443#韩国KR-1534.86m|2.80ms
134.185.99.52:443#韩国KR-1520.26m|0.25ms
168.110.99.199:2053#韩国KR-1508.83m|0.38ms
168.110.110.132:2053#韩国KR-1493.23m|0.32ms
193.122.119.241:443#韩国KR-1482.71m|2.65ms
43.202.4.66:443#韩国KR-1462.00m|3.70ms
141.164.37.50:443#韩国KR-1395.77m|2.77ms
134.185.127.173:443#韩国KR-1389.86m|0.37ms
168.110.112.196:8443#韩国KR-1341.56m|0.31ms
141.164.49.98:443#韩国KR-1338.61m|2.84ms
20.41.123.20:443#韩国KR-1323.16m|3.32ms
20.39.194.208:443#韩国KR-1310.02m|3.61ms
43.201.33.61:443#韩国KR-1291.87m|3.80ms
141.164.42.2:443#韩国KR-1256.78m|2.80ms
130.162.156.131:14850#韩国KR-1242.17m|2.70ms
3.37.245.168:443#韩国KR-1205.29m|3.75ms
47.80.57.116:443#韩国KR-1202.64m|4.38ms
3.36.109.49:443#韩国KR-1175.42m|3.65ms
43.202.223.164:443#韩国KR-1088.36m|2.97ms
64.176.230.12:443#韩国KR-984.37m|2.70ms
146.56.151.92:443#韩国KR-935.79m|2.44ms
146.56.119.205:443#韩国KR-935.61m|0.25ms
3.38.176.64:443#韩国KR-832.86m|3.44ms
13.125.127.161:443#韩国KR-823.66m|3.60ms
3.36.127.156:443#韩国KR-820.54m|3.68ms
43.203.226.238:443#韩国KR-817.29m|3.53ms
3.34.196.196:443#韩国KR-815.21m|3.61ms
3.34.198.185:443#韩国KR-815.10m|2.98ms
3.34.205.157:443#韩国KR-811.64m|2.81ms
15.165.10.82:443#韩国KR-807.65m|3.73ms
3.36.122.226:443#韩国KR-804.61m|3.76ms
52.79.207.93:443#韩国KR-799.37m|3.54ms
13.125.169.28:443#韩国KR-784.58m|3.02ms
52.78.42.159:443#韩国KR-781.40m|3.58ms
43.201.86.93:443#韩国KR-777.92m|3.85ms
43.203.221.104:443#韩国KR-777.00m|3.68ms
54.180.108.160:443#韩国KR-776.64m|2.98ms
166.117.184.30:443#Anycast-116.81m|3.07ms
75.2.79.84:443#Anycast-116.73m|2.86ms
13.248.215.36:443#Anycast-79.88m|2.95ms
132.145.89.240:443#Anycast-50.60m|2.62ms
146.56.154.183:443#Anycast-49.51m|2.62ms
